CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty
54913,HLTH,422,DT1,3,Nutrition,19/25,0,,,,Shane David Scholten
56600,HIMS,746,DT1,3,"Information, AI, and Data Governance",15/25,0,,,,Renae L Spohn
53507,HIM,285,DZ1,2,Supervised Professional Practice,7/10,0,,,,Julie M Wulf Plimpton
55877,HIM,362,DT1,3,Healthcare Procedure Coding Systems,25/25,0,,,,Julie M Wulf Plimpton
50407,HIM,485,DZ1,2,Supervised Professional Practice,7/10,0,,,,Julie M Wulf Plimpton
50482,INED,211,DT1,3,South Dakota American Indian Culture and Education,0/25,0,,,,Betsy Lea Schamber
50460,INED,211,DT2,3,South Dakota American Indian Culture and Education,6/25,0,,,,Betsy Lea Schamber
56442,INED,211,DT3,3,South Dakota American Indian Culture and Education,22/25,0,,,,Scott Wayne Klungseth
50020,INFA,701,DT1,3,Principles of Information Assurance,18/25,0,,,,
56675,INFA,702,DT1,3,Introduction to Data Privacy,17/25,0,,,,
54385,INFA,721,DT1,3,Digital Forensics,0/25,0,,,,Quentin Michael Covert
55616,INFA,721,DT2,3,Digital Forensics,18/25,0,,,,
54907,INFA,726,DT1,3,Data Privacy Technology,1/25,0,,,,
50022,INFA,735,DT1,3,Offensive Security,1/25,0,,,,Tyler Jerome Flaagan
51933,INFA,735,DT2,3,Offensive Security,0/25,0,,,,Tyler Jerome Flaagan
53554,INFA,742,DT1,3,Ethics and Information Technology,1/25,8,,,,Chad R Fenner
54381,INFA,754,DT1,3,Network Security Monitoring and Intrusion Detection,0/25,2,,,,Kyle Ronald Korman
55615,INFA,754,DT2,3,Network Security Monitoring and Intrusion Detection,0/25,3,,,,Kyle Ronald Korman
50009,INFS,730,DT1,3,Web Application Development,14/25,0,,,,Mohammad Tafiqur Rahman
52467,INFS,732,DT1,3,Emerging Technologies and Issues,9/25,0,,,,Omar F El-Gayar
50010,INFS,750,DT1,3,"IT Infrastructure, Technology and Network Management",14/25,0,,,,Insu Park
50011,INFS,760,DT1,3,Enterprise Modeling and Data Management,14/25,0,,,,Andy Behrens
50016,INFS,762,DT1,3,Data Warehousing & Data Mining,5/25,0,,,,Jun Liu
50023,INFS,774,DT1,3,Big Data Analytics,0/25,0,,,,Jun Liu
50015,INFS,776,DT1,3,Business Intelligence and Visualization,8/25,0,,,,David Zeng
55140,INFS,778,DT1,3,Deep Learning: Theory and Algorithms,15/25,0,,,,David Zeng
50012,INFS,780,DT1,3,Information Technology Strategy & Policy,11/25,0,,,,Cherie B Noteboom
50025,INFS,890,DT1,1,Seminar,0/25,9,,,,
56733,INFS,890,DT2,1,Seminar,19/25,0,,,,
55262,INFS,898D,DT1,1 TO 12,Dissertation,4/5,0,,,,Insu Park
56588,INFS,898D,DT2,1 TO 12,Dissertation,4/5,0,,,,Cherie B Noteboom
56608,INFS,898D,DT3,1 TO 12,Dissertation,4/5,0,,,,Omar F El-Gayar
50471,LIBM,205,DT1,2,Children's Literature,16/25,0,,,,Amber Renae Muller
51492,MATH,101,DT1,3,Intermediate Algebra,15/35,0,,,,Kim Jones
50906,MATH,114,DT1,3,College Algebra,8/35,0,,,,Kim Jones
51613,MATH,114,DT2,3,College Algebra,31/35,0,,,,Kim Jones
51493,MATH,121,DT1,4,Survey of Calculus,13/50,0,,,,Rich I Avery
54733,MATH,123,DT1,4,Calculus I,17/25,0,,,,Richard K Wicklein
55128,MATH,201,DT1,3,Introduction to Discrete Mathematics,16/25,0,,,,Justin Z Schroeder
51476,MATH,281,DT1,3,Introduction to Statistics,12/25,0,,,,Richard K Wicklein
55129,MATH,315,DT1,3,Linear Algebra,8/20,0,,,,Justin Z Schroeder
56443,MATH,315,DT2,3,Linear Algebra,15/20,0,,,,Justin Z Schroeder
52684,MATH,316,DT1,3,Discrete Mathematics,10/25,0,,,,Hannah L Altmann
55896,MATH,321,DT1,3,Differential Equations,8/25,0,,,,Paul T LeVan
50472,MATH,341,DT1,3,Math Concepts for Teachers I,32/60,0,,,,Rich I Avery
50473,MATH,342,DT1,3,Math Concepts for Teachers II,50/60,0,,,,Rich I Avery
55891,MATH,381,DT1,3,Introduction to Probability and Statistics,10/25,0,,,,Paul T LeVan
50481,MUS,100,DT1,3,Music Appreciation,6/30,0,,,,Kai Nunnery
55619,MUS,100,DT2,3,Music Appreciation,12/30,0,,,,Kai Nunnery
55885,PE,354,D01,3,Prevention and Care of Athletic Injuries,19/25,0,MTuWThF,0800-1600,Fieldhouse 004,Stacy Lynn Anderson
56450,PE,453,DT1,3,Sport Psychology,23/25,0,,,,Scott Wayne Klungseth
56611,PE,483,DT1,2,Fundamentals and Theories of Coaching,24/25,0,,,,Stacy Lynn Anderson
56612,PE,484,DT1,1,Fundamentals and Theories of Coaching: Field Experience,24/25,0,,,,Stacy Lynn Anderson
52674,PSYC,101,DT1,3,General Psychology,20/25,0,,,,Akua Bemma Opoku-Agyemang
53936,SEED,440,DT1,2,Classroom Management,5/5,0,,,,Jennifer Ann Munger
50475,SEED,450,DT1,3,Reading and Content Literacy,2/25,0,,,,Katie Lyn Anderson
50928,SOC,100,DT1,3,Introduction to Sociology,26/30,0,,,,Viki R Johnson
50041,SOC,285,DT1,3,Society and Technology,18/30,0,,,,Viki R Johnson
50476,SPED,100,DT1,3,Introduction to Persons With Exceptionalities,5/26,0,,,,Sandi Steinhoff-Muller
55233,SPED,100,DT2,3,Introduction to Persons With Exceptionalities,0/26,0,,,,Sandi Steinhoff-Muller
55986,SPED,420,DT1,3,K-12 Curricular/Instructional Strategies,6/25,0,,,,Kelsey Jean Buchholz
55370,SPED,460,DT1,3,Family Systems and Professional Collaboration,0/25,0,,,,Sandi Steinhoff-Muller
56592,SPED,460,DT2,3,Family Systems and Professional Collaboration,12/25,0,,,,Laura Lee Welch
55141,SPED,465,DT1,3,Computer Applications Special Education,9/25,0,,,,Megan Nicole Schuh
50459,THEA,201,DT1,3,Film Appreciation,2/30,0,,,,Daniel Gerald Spencer
56430,THEA,201,DT2,3,Film Appreciation,18/30,0,,,,Joseph A Staudenbaur
